PSNR,SSIM,UIQM (Generated),UIQM (Ground Truth)
25.448675,0.97343796,4.871619,4.799918
19.55759,0.87774986,4.8706374,4.7993717
21.507349,0.9091853,4.8709908,4.7989492
20.937193,0.9292827,4.8708034,4.79934
26.133516,0.97853315,4.8707433,4.798917
17.638977,0.9333128,4.8715262,4.7995443
19.422848,0.9258467,4.8028927,4.9452033
20.727846,0.93958694,4.802738,4.9445453
17.631557,0.8839661,4.8029923,4.944674
20.075209,0.9458399,4.802703,4.944884
25.620138,0.98031074,4.8027983,4.944476
24.683514,0.95808136,4.8026958,4.944322
26.814203,0.9706595,4.8025413,4.9443493
26.922686,0.97101635,4.8032274,4.944775
24.819435,0.9745893,4.8039365,4.9455123
27.998795,0.9691772,4.802676,4.9442725
18.99936,0.91437405,4.8026457,4.9444666
25.424078,0.973406,4.8025603,4.9443293
18.88383,0.9022792,4.8034587,4.9451885
23.473356,0.97048,4.8027267,4.944376
26.162018,0.9635307,4.803263,4.944867
15.984514,0.8373723,4.8025765,4.9447203
20.766695,0.9691264,4.8025713,4.94419
24.546167,0.9580754,4.8026385,4.9442954
25.328033,0.9557201,4.802538,4.944307
25.60172,0.98506725,4.80393,4.945671
23.044285,0.9410622,4.8028436,4.9444265
19.79552,0.8691624,4.8031063,4.9447894
27.509644,0.9686306,4.8035,4.94505
23.312979,0.9476075,4.8027287,4.9445767
28.7779,0.96842605,4.802622,4.944362
27.515343,0.9714427,4.8030057,4.94458
24.359234,0.9036005,4.8025384,4.944397
16.621471,0.8702888,4.8030376,4.9446945
24.26249,0.9764354,4.8026857,4.944488
23.700418,0.955234,4.8033366,4.945164
23.109892,0.96028394,4.802622,4.94424
24.14614,0.9626022,4.803487,4.9449396
27.14942,0.9758929,4.80294,4.944526
23.31879,0.9516755,4.8030133,4.944595
24.448778,0.96523345,4.8032007,4.944873
23.38628,0.9724645,4.802976,4.944777
26.57691,0.98426867,4.802956,4.944595
28.408657,0.97660786,4.8024964,4.944243
26.231394,0.9756734,4.8026533,4.944418
19.547148,0.87189376,4.803056,4.944796
23.850594,0.9148757,4.803016,4.9443774
25.831268,0.97557646,4.8034906,4.9453435
19.557156,0.9432273,4.8027525,4.944584
23.65823,0.95774335,4.8028717,4.9443355
24.033577,0.98154086,4.8032327,4.9448214
20.280743,0.8424483,4.8025117,4.944644
23.800089,0.9569143,4.802625,4.944359
18.365934,0.8704419,4.803275,4.944787
28.30949,0.9743153,4.802522,4.9442945
25.046589,0.97803384,4.802819,4.9445443
15.801673,0.7679604,4.8026075,4.9451327
22.348976,0.88744926,4.8034973,4.9450145
25.766954,0.9721091,4.8037257,4.9453373
20.712526,0.92791206,4.803244,4.945033
19.675415,0.90261865,4.802683,4.9446707
24.154718,0.9652651,4.8028717,4.9445376
21.54659,0.93361294,4.802765,4.9448347
23.547726,0.9405113,4.8031254,4.944557
20.710278,0.9457232,4.8028717,4.944837
13.265123,0.7215561,4.8031726,4.9455056
22.393198,0.9437,4.802541,4.9445567
21.826286,0.91430897,4.80268,4.944391
25.446877,0.97626305,4.802876,4.944533
26.514439,0.94947994,4.8026915,4.9442177
25.906467,0.97816646,4.961922,4.8401423
23.742985,0.94278824,4.9613247,4.8395643
